feed,title,long_url,short_url
ArXiv:cs.CR,Qualitative Planning in Imperfect Information Games with Active Sensing and Reactive Sensor Attacks: Cost of Unawareness,https://arxiv.org/abs/2104.00176v1,
ArXiv:cs.CR,Too Expensive to Attack: A Joint Defense Framework to Mitigate Distributed Attacks for the Internet of Things Grid,https://arxiv.org/abs/2104.00236v1,
ArXiv:cs.CR,High-Dimensional Differentially-Private EM Algorithm: Methods and Near-Optimal Statistical Guarantees,https://arxiv.org/abs/2104.00245v1,
ArXiv:cs.CR,The best laid plans or lack thereof: Security decision-making of different stakeholder groups,https://arxiv.org/abs/2104.00284v1,
ArXiv:cs.CR,Securing Smart Homes via Software-Defined Networking and Low-Cost Traffic Classification,https://arxiv.org/abs/2104.00296v1,
ArXiv:cs.CR,Towards Evaluating and Training Verifiably Robust Neural Networks,https://arxiv.org/abs/2104.00447v1,
ArXiv:cs.CR,Augmenting Zero Trust Architecture to Endpoints Using Blockchain: A Systematic Review,https://arxiv.org/abs/2104.00460v1,
ArXiv:cs.CR,Solver-Aided Constant-Time Circuit Verification,https://arxiv.org/abs/2104.00461v1,
ArXiv:cs.CR,PyVertical: A Vertical Federated Learning Framework for Multi-headed SplitNN,https://arxiv.org/abs/2104.00489v1,
ArXiv:cs.CR,Blockchain and BIM (Building Information Modeling): Progress in Academia and Industry,https://arxiv.org/abs/2104.00547v1,
ArXiv:cs.CR,Design and development of an Aerial Surveillance Security System,https://arxiv.org/abs/2104.00604v1,
ArXiv:cs.CR,Security and Machine Learning Adoption in IoT: A Preliminary Study of IoT Developer Discussions,https://arxiv.org/abs/2104.00634v1,
ArXiv:cs.CR,GDPR Compliant Blockchains-A Systematic Literature Review,https://arxiv.org/abs/2104.00648v1,
ArXiv:cs.CR,Edge Differential Privacy for Algebraic Connectivity of Graphs,https://arxiv.org/abs/2104.00654v1,
ArXiv:cs.CR,A Survey of Privacy Attacks in Machine Learning,https://arxiv.org/abs/2007.07646v2,
ArXiv:cs.CR,Watermarking Graph Neural Networks by Random Graphs,https://arxiv.org/abs/2011.00512v2,
ArXiv:cs.CR,"Dataset Security for Machine Learning: Data Poisoning, Backdoor Attacks, and Defenses",https://arxiv.org/abs/2012.10544v4,
ArXiv:cs.CR,Secure Process Algebra,https://arxiv.org/abs/2101.05140v4,
ArXiv:cs.CR,Nonlinear RF Fingerprints Authentication for OFDM Wireless Devices based on Demodulated Symbols,https://arxiv.org/abs/2103.11308v2,
ArXiv:cs.CR,U.S. Broadband Coverage Data Set: A Differentially Private Data Release,https://arxiv.org/abs/2103.14035v2,
ArXiv:cs.CR,E-GraphSAGE: A Graph Neural Network based Intrusion Detection System,https://arxiv.org/abs/2103.16329v2,
